"gene","log2FC","pvalue","padj","mean_iface","mean_distal","cscore","sig"
"ATP6V1C1",-0.43070576074754,0.00122718303399639,0.00434880835223277,0.192927105988717,0.263523984979757,1.01716752982961,FALSE
"RABEP1",-0.398934389136478,0.000686822188203561,0.0028304097410521,0.297407664696129,0.395327349824,1.01654493885392,FALSE
"SMDT1",-0.398798019311435,0.000686822188203561,0.0028304097410521,0.673029342984033,0.890512047545755,1.01619744799017,FALSE
"MRPL24",-0.369639409094259,0.000374990409081374,0.00178349958217516,0.401462894088411,0.521622344215707,1.01603781963121,FALSE
"LINC01311",-0.454025704064254,0.00178237553750544,0.00578584758350899,0.0124772690472497,0.0207906530234124,1.01594290332479,FALSE
"RBX1",-0.341463393078924,0.000179363785289462,0.00105878435469078,0.48079817405184,0.611861488509019,1.01591932090579,FALSE
"MBTD1",-0.453996654663404,0.00178237553750544,0.00578584758350899,0.0899095268708858,0.126859047569913,1.01587790142649,FALSE
"UQCC3",-0.466718748959731,0.00213926139573542,0.00666726201760157,0.384683484242103,0.535437880715653,1.01560448980311,FALSE
"CDKL1",0.501757196049142,0.00333617930475641,0.00947042431715509,0.0242870385639674,0.0142150856413619,1.01537119674653,TRUE
"NRARP",-0.607160736173672,0.00904539678500551,0.0212767614845061,0.0373277067352429,0.0620923288391528,1.01523011232857,TRUE
"ATG2B",-0.403099716076834,0.000757881069919366,0.00303412730580929,0.134954660254756,0.181680215138183,1.01499146073595,FALSE
"B3GALT2",0.66133509278727,0.0133161863129884,0.0291937777416272,0.0316271951811447,0.0163205796403368,1.01495738362079,TRUE
"CHD7",-0.508990359710395,0.00363882622462475,0.0101489294647044,0.0633562363804076,0.0943898820965547,1.01471288212556,TRUE
"LINC00847",-0.447177136815714,0.00162525754625207,0.00538895571080034,0.0709185407993273,0.10032191049566,1.01441927143191,FALSE
"RMC1",-0.479911182119788,0.00256061528714459,0.00769555800200357,0.0694212275515774,0.100765434743348,1.01441700472554,FALSE
"STAG2",-0.35256290627334,0.000247061301322295,0.00132661938303924,0.323372103961891,0.415658456710631,1.01441291301189,FALSE
"SEH1L",-0.40792122860548,0.000835716821727253,0.00326381881433842,0.126888260158898,0.171619606064539,1.01420392776439,FALSE
"RXRA",-0.413038548914685,0.000920913394288009,0.00350794385712574,0.26390155389595,0.354696410386694,1.01398789767937,FALSE
"FZD4",-0.723458312553133,0.0192923797065616,0.0396766326945614,0.141091073226138,0.239471798951718,1.01390164361175,TRUE
"TOMM5",-0.779685275599127,0.0256392720088056,0.0500853279295386,0.158556520364523,0.279370471792145,1.01381656030426,FALSE
"ATP5PO",-0.326305213122983,0.00011590114146772,0.000782642601007293,0.67520493266691,0.84910874063953,1.01364642945887,FALSE
"INIP",-0.435030536398035,0.00134858243631686,0.00467942973609101,0.0862817071225157,0.120167037996141,1.01353721914036,FALSE
"PRR22",-0.50075873447644,0.00333617930475641,0.00947042431715509,0.0345639860511502,0.0530561469004955,1.01335067939279,TRUE
"AC097359.2",-0.486058150663606,0.00279860219090708,0.00824081208682764,0.00872682541665049,0.0162290308988577,1.01295976231039,FALSE
"RRAGB",-0.38733965640272,0.000562903559894128,0.00243010759061987,0.0825327951422868,0.111030976203603,1.01265091976941,FALSE
"CSTB",-0.39723875197361,0.000686822188203561,0.0028304097410521,0.636894700297363,0.841950521252465,1.01222419984775,FALSE
"WIPI2",-0.322656989596339,0.000103734007261613,0.000730428165443879,0.323426761386362,0.406994076986036,1.01198863829848,FALSE
"PMS1",-0.439671630787382,0.00148097718579686,0.00500920698579908,0.0762358622048139,0.106961319463702,1.01134632481797,FALSE
"C14orf119",-0.355736740347304,0.000274510784283184,0.00143833399524312,0.211123709592306,0.272958497630947,1.0110537098558,FALSE
"MPZL2",-0.708420977937282,0.0179386128703247,0.0374309833136918,0.264047968154568,0.437798413297578,1.01075292294104,TRUE
"CHD5",0.492026210892257,0.00304285593526442,0.00885434958794354,0.0185400369492821,0.0102927022401636,1.01005272776343,FALSE
"NUDT16L1",-0.464129688246272,0.00213926139573542,0.00666726201760157,0.31338458491218,0.436104159006766,1.00997055782412,FALSE
"PSENEN",-0.367336187050713,0.000374990409081374,0.00178349958217516,0.279231001866512,0.363098972257364,1.0097068910406,FALSE
"ITFG1",-0.367240008922915,0.000374990409081374,0.00178349958217516,0.270137607097583,0.35134468653547,1.00944252362506,FALSE
"GSTK1",-0.362859312489351,0.000338194810029338,0.0016525849585213,0.454718105659004,0.587614505686855,1.00941517259313,FALSE
"ALKBH6",-0.427372971972421,0.00122718303399639,0.00434880835223277,0.101596356609508,0.140072839532607,1.00929671677165,FALSE
"MYL12B",-0.287735074230465,2.5959840395872e-05,0.000310718374027369,1.00708952434403,1.23158389166887,1.00926906016008,FALSE
"ELF5",-0.706819286848071,0.0179386128703247,0.0374309833136918,0.0155573602404112,0.0317147650070007,1.0084676801257,TRUE
